# SpekpyWeb (Spekpy ver. 2.0.13.1)
# -----------------------
# Physics: casim
# Attenuation data: nist
# Energy bin (keV): 1
# Target material: W
# Anode angle (°): 0
# kV: 100
# x (cm): 0
# y (cm): 0
# z (cm): 0.1
# mAs: 1
# Bremsstrahlung: true
# Char. x-ray: true

# Filtration: None

# Mid-bin energy (keV)	Fluence (cm⁻² keV⁻¹)
1.5	0
2.5	0
3.5	1157896434068.8403
4.5	897270207164.1909
5.5	729018998136.5294
6.5	612175515475.3558
7.5	526592343228.3642
8.5	460915577841.1014
9.5	409128018490.4907
10.5	367140917007.937
11.5	332401889628.1626
12.5	303247484928.6877
13.5	278433328392.4269
14.5	257049951713.7429
15.5	238394147582.12036
16.5	221979279024.4719
17.5	207448403659.38095
18.5	194500570452.22504
19.5	182893813899.11346
20.5	172451526163.76215
21.5	163002951370.5679
22.5	154405259700.96402
23.5	146547475656.60123
24.5	139338677417.96606
25.5	132723531296.01135
26.5	126633735329.50394
27.5	120989359444.33348
28.5	115743615579.37462
29.5	110856018063.00818
30.5	106309400202.42993
31.5	102071008790.87186
32.5	98093644731.0311
33.5	94355868296.4038
34.5	90837060134.52432
35.5	87532890515.71901
36.5	84423343754.87895
37.5	81481531617.97917
38.5	78692371005.96233
39.5	76047528386.44019
40.5	73546615338.77042
41.5	71178706456.25429
42.5	68921808334.69043
43.5	66769025899.24036
44.5	64714637762.606606
45.5	62758990670.2154
46.5	60895286185.52366
47.5	59109700670.938545
48.5	57397880067.30767
49.5	55754488433.57301
50.5	54182107925.82095
51.5	52676892584.08571
52.5	51227474840.66992
53.5	49830701719.9729
54.5	48483150265.290764
55.5	47188133703.7943
56.5	45941668213.76946
57.5	44736270721.743835
58.5	43571004331.10475
59.5	42442424192.278694
60.5	41352116434.39681
61.5	40299087192.58819
62.5	39277222539.29873
63.5	38284401850.40066
64.5	37318555258.21327
65.5	36381916926.10346
66.5	35473724630.199135
67.5	34588043897.630005
68.5	33723592186.072796
69.5	32878697921.266216
70.5	32056497264.899803
71.5	31255030522.16974
72.5	30469061771.390545
73.5	29698020125.40866
74.5	28941190530.97623
75.5	28200004012.727814
76.5	27473131410.56808
77.5	26756855587.856567
78.5	26050711751.606556
79.5	25353263400.144314
80.5	24665949094.99618
81.5	23987718746.49802
82.5	23315600952.332634
83.5	22648883280.714123
84.5	21985671839.857193
85.5	21326928815.326134
86.5	20672040184.368774
87.5	20019733879.031414
88.5	19369584542.434715
89.5	18721130573.23897
90.5	18073183019.974506
91.5	17427826396.29192
92.5	16784721893.570477
93.5	16146651300.168665
94.5	15514760540.66212
95.5	14894526803.122337
96.5	14288931591.706024
97.5	13705963721.276098
98.5	13146931711.935038
99.5	9437906744.286957
